zapoteco,español,categoria,audio
qitz,entierralo ,palabra,qitz.mp3
ques,queso,alimento,ques.mp3
quie,"cabeza, cima",palabra,quie.mp3
ralé,poder,palabra,ra_lee.mp3
raath,todos,palabra,raath.mp3
rac,dolor,palabra,rac.mp3
racbe,saber,palabra,rac_be.mp3
racne,ayudar,palabra,rac_ne.mp3
rac srhuca,me duele el hombro,frase,rac_srhuca.mp3
racshrua,estar enfermo,frase,racshrua.mp3
nap,tener,palabra,rap.mp3
rasn,dormir,palabra,ras´.mp3
rasrha,tener flojera,frase,rasha.mp3
rastee,leventarse,palabra,rastee.mp3
rat ,acostarse,palabra,rat.mp3
rat',moririse,palabra,raty.mp3
rbinlass,depresion,palabra,rbin_lass.mp3
rcas,queree,palabra,rcas.mp3
rcas nare,quiereme,palabra,rcas_nare.mp3
rcasa,quiero,palabra,rcasa.mp3
rcasu he,quieres?,palabra,rcasu_he.mp3
rcua,echar,palabra,rcua.mp3
rded,pasar,palabra,rded.mp3
rdiab,hervir,palabra,rdiab.mp3
rdie,salir,palabra,rdie.mp3
rdienal,perseguir,frase,rdienal.mp3
rdo,se evende,palabra,rdo.mp3
re,va (ir),palabra,re.mp3
refresc,refresco,bebida,refresc.mp3
rgib,miedo,palabra,rgib.mp3
rgibiu,tienes miendo,frase,rgibiu.mp3
rgii,asar (cocinar),palabra,rgii.mp3
rgit,jugar,palabra,rgit.mp3
riló,creerse,frase,ri_lo.mp3
rilua,me parece,frase,ri_lua.mp3
riab,caer,palabra,riab.mp3
riant,quedarse,frase,riant.mp3
riasrh,faltar,palabra,riasrh.mp3
riasrhte lli,falta que termine el dia,frase,riasrhte_lli.mp3
rien,verse,palabra,rien.mp3
rin diag,oir,palabra,rin_diag.mp3
riu,entrar,palabra,riu.mp3
riulas,gustar,palabra,riulas.mp3
riulasca,me gusta,frase,riulasca.mp3
rliu,se ve,frase,rliu.mp3
rnabdich,preguntar,palabra,rnabdich.mp3
rneshni get,por haya bajo,frase,rneshni-get.mp3
rneshni ya,por aya arriva,frase,rneshni-ya.mp3
rniciu,nomas dices,frase,rniciu.mp3
rní,hablar,palabra,rnii.mp3
